,Gender,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average Score,WklyStudyHoursValue
17654,male,associate's degree,free/reduced,none,married,never,no,4.0,school_bus,< 5,52,47,40,46.0,1.0
17655,male,high school,free/reduced,completed,married,regularly,yes,3.0,school_bus,5 - 10,65,57,58,60.0,2.0
17656,male,bachelor's degree,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,80,73,77,77.0,2.0
17657,female,some college,standard,none,married,never,yes,2.0,private,5 - 10,74,81,80,78.0,2.0
17658,male,associate's degree,standard,completed,divorced,sometimes,no,3.0,private,< 5,91,89,91,90.0,1.0
17659,female,some college,free/reduced,none,single,never,yes,1.0,private,5 - 10,60,80,70,70.0,2.0
17660,female,high school,standard,completed,married,sometimes,no,2.0,school_bus,< 5,67,82,81,77.0,1.0
17661,female,some high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,28,38,35,34.0,1.0
17662,male,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,61,64,64,63.0,1.0
17663,male,bachelor's degree,standard,completed,single,never,yes,3.0,private,< 5,81,86,82,83.0,1.0
17664,female,some high school,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,46,57,53,52.0,2.0
17665,female,associate's degree,standard,completed,single,sometimes,yes,3.0,school_bus,> 10,78,89,90,86.0,3.0
17666,male,some college,standard,none,married,sometimes,no,1.0,private,> 10,73,69,67,70.0,3.0
17667,female,master's degree,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,79,97,100,92.0,1.8977295694940375
17668,female,associate's degree,standard,completed,single,never,no,3.0,school_bus,5 - 10,72,72,72,72.0,2.0
17669,male,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,51,47,37,45.0,1.0
17670,male,high school,standard,none,married,sometimes,no,1.0,private,> 10,80,71,74,75.0,3.0
17671,female,associate's degree,standard,none,single,regularly,yes,0.0,school_bus,< 5,81,97,90,89.0,1.0
17672,female,some high school,standard,completed,single,sometimes,yes,3.0,school_bus,5 - 10,79,94,96,90.0,2.0
17673,female,some high school,standard,completed,single,never,no,2.0,school_bus,< 5,89,97,95,94.0,1.0
17674,male,master's degree,standard,none,single,regularly,yes,3.0,private,5 - 10,77,56,60,64.0,2.0
17675,female,bachelor's degree,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,82,93,98,91.0,2.0
17676,female,high school,free/reduced,none,married,never,no,2.0,private,5 - 10,57,56,57,57.0,1.8977295694940375
17677,female,high school,standard,none,single,sometimes,no,2.0,school_bus,5 - 10,57,69,66,64.0,2.0
17678,male,bachelor's degree,free/reduced,none,divorced,regularly,yes,3.0,private,> 10,75,72,72,73.0,3.0
17679,female,some college,standard,completed,married,never,yes,4.0,private,5 - 10,65,65,72,67.0,2.0
17680,female,bachelor's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,57,67,66,63.0,2.0
17681,female,high school,standard,none,married,regularly,yes,4.0,private,5 - 10,71,78,79,76.0,2.0
17682,male,some college,standard,completed,married,never,no,3.0,private,5 - 10,72,66,67,68.0,2.0
17683,female,some high school,free/reduced,completed,single,sometimes,no,2.0,school_bus,< 5,55,73,71,66.0,1.0
17684,male,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,62,58,59,60.0,2.0
17685,female,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,> 10,60,63,67,63.0,3.0
17686,male,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,5 - 10,83,84,79,82.0,2.0
17687,female,high school,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,83,78,79,80.0,2.0
17688,female,bachelor's degree,free/reduced,none,single,sometimes,no,4.0,school_bus,5 - 10,73,90,94,86.0,2.0
17689,female,some college,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,71,76,74,74.0,2.0
17690,female,some high school,standard,completed,single,never,yes,2.0,school_bus,< 5,86,92,91,90.0,1.0
17691,female,some high school,standard,completed,single,regularly,yes,4.0,school_bus,< 5,54,68,75,66.0,1.0
17692,male,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,100,100,98,99.0,2.0
17693,male,associate's degree,standard,completed,married,regularly,yes,1.0,school_bus,> 10,76,75,74,75.0,3.0
17694,female,some high school,standard,none,single,regularly,yes,1.0,private,< 5,58,67,63,63.0,1.0
17695,male,some high school,standard,none,divorced,sometimes,yes,2.0,school_bus,< 5,47,50,47,48.0,1.0
17696,male,associate's degree,standard,completed,married,sometimes,no,4.0,school_bus,5 - 10,100,100,97,99.0,2.0
17697,male,bachelor's degree,standard,none,divorced,sometimes,yes,3.0,private,5 - 10,82,82,84,83.0,2.0
17698,female,some college,standard,none,married,never,no,3.0,school_bus,> 10,61,71,68,67.0,3.0
17699,female,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,71,90,87,83.0,1.0
17700,female,some college,standard,none,single,never,yes,3.0,private,5 - 10,82,90,92,88.0,2.0
17701,male,some high school,standard,completed,married,sometimes,no,2.0,school_bus,< 5,66,63,67,65.0,1.0
17702,female,some high school,standard,none,married,never,yes,3.0,private,< 5,42,59,54,52.0,1.0
17703,male,some high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,64,54,51,56.0,2.0
17704,female,some college,standard,none,single,never,no,2.0,school_bus,< 5,67,87,81,78.0,1.0
17705,female,some college,free/reduced,completed,married,sometimes,no,3.0,school_bus,< 5,55,70,67,64.0,1.0
17706,female,associate's degree,standard,none,married,never,no,2.0,private,5 - 10,44,40,38,41.0,2.0
17708,female,associate's degree,free/reduced,none,married,regularly,no,2.0,school_bus,> 10,63,67,73,68.0,3.0
17709,male,associate's degree,standard,completed,divorced,sometimes,yes,2.0,private,< 5,51,50,49,50.0,1.0
17710,male,some high school,standard,completed,married,never,yes,0.0,private,< 5,81,80,78,80.0,1.0
17711,female,some high school,standard,none,single,sometimes,yes,1.0,school_bus,< 5,77,87,79,81.0,1.0
17712,female,high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,73,76,73,74.0,2.0
17713,female,some high school,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,> 10,63,73,70,69.0,3.0
17714,female,some college,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,72,75,78,75.0,2.0
17715,female,associate's degree,free/reduced,completed,single,sometimes,yes,1.0,private,5 - 10,65,81,82,76.0,2.0
17716,male,high school,standard,none,married,regularly,yes,6.0,school_bus,5 - 10,90,81,83,85.0,2.0
17717,male,high school,standard,completed,married,never,no,3.0,private,< 5,32,35,29,32.0,1.0
17718,male,some high school,standard,completed,single,sometimes,yes,3.0,private,> 10,70,61,65,65.0,3.0
17719,female,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,5 - 10,78,88,88,85.0,2.0
17720,male,master's degree,free/reduced,completed,widowed,sometimes,no,1.0,school_bus,5 - 10,72,68,69,70.0,2.0
17721,male,associate's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,< 5,47,55,49,50.0,1.0
17722,female,high school,standard,completed,single,regularly,yes,4.0,school_bus,5 - 10,76,77,84,79.0,2.0
17723,male,some high school,standard,none,single,never,no,2.0,school_bus,> 10,79,79,75,78.0,3.0
17724,male,some college,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,72,71,63,69.0,2.0
17725,female,master's degree,standard,none,married,sometimes,yes,5.0,private,5 - 10,60,58,62,60.0,2.0
17726,male,associate's degree,standard,none,married,sometimes,no,1.0,private,5 - 10,84,75,77,79.0,2.0
17727,female,bachelor's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,72,85,86,81.0,2.0
17728,male,some college,standard,completed,married,regularly,yes,1.0,school_bus,< 5,65,60,61,62.0,1.0
17729,female,associate's degree,free/reduced,none,married,regularly,no,3.0,private,5 - 10,40,58,57,52.0,2.0
17730,male,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,46,46,39,44.0,2.0
17731,female,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,> 10,62,66,64,64.0,3.0
17732,female,some high school,free/reduced,none,divorced,sometimes,yes,3.0,private,5 - 10,26,39,41,35.0,2.0
17733,male,high school,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,69,61,58,63.0,2.0
17734,male,associate's degree,standard,none,married,regularly,yes,3.0,private,> 10,79,72,74,75.0,3.0
17735,female,high school,free/reduced,none,widowed,sometimes,yes,0.0,private,5 - 10,55,58,60,58.0,2.0
17736,female,bachelor's degree,free/reduced,none,married,sometimes,no,5.0,school_bus,> 10,59,68,66,64.0,3.0
17737,female,associate's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,38,47,41,42.0,2.0
17738,male,some high school,standard,none,divorced,never,yes,2.0,private,< 5,67,69,67,68.0,1.0
17739,female,associate's degree,standard,completed,married,sometimes,yes,0.0,private,< 5,73,95,89,86.0,1.0
17740,female,some college,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,95,90,98,94.0,1.0
17741,male,bachelor's degree,standard,none,divorced,sometimes,no,4.0,school_bus,5 - 10,71,64,65,67.0,2.0
17742,male,associate's degree,standard,completed,married,sometimes,no,1.0,private,> 10,84,79,82,82.0,3.0
17743,female,some college,free/reduced,none,married,never,no,5.0,school_bus,5 - 10,78,88,81,82.0,2.0
17744,male,some high school,standard,completed,married,never,no,1.0,school_bus,> 10,67,70,71,69.0,3.0
17745,male,high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,72,71,66,70.0,2.0
17746,female,some high school,standard,completed,married,regularly,yes,2.0,school_bus,< 5,87,99,94,93.0,1.0
17747,female,some college,standard,completed,single,regularly,yes,2.0,private,< 5,76,86,82,81.0,1.0
17748,female,some high school,standard,none,single,sometimes,yes,2.0,private,5 - 10,76,89,88,84.0,2.0
17749,male,some high school,free/reduced,completed,married,regularly,yes,0.0,school_bus,5 - 10,53,45,49,49.0,2.0
17750,female,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,59,66,63,63.0,2.0
17751,male,high school,standard,completed,single,regularly,yes,2.0,school_bus,5 - 10,78,80,71,76.0,2.0
17752,female,some high school,free/reduced,none,married,sometimes,yes,2.0,private,< 5,33,37,35,35.0,1.0
17753,female,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,< 5,69,62,64,65.0,1.0
17754,male,associate's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,55,54,49,53.0,2.0
17755,female,some college,free/reduced,completed,single,regularly,no,5.0,private,> 10,77,89,100,89.0,3.0
17756,male,high school,standard,none,single,regularly,no,1.0,school_bus,5 - 10,55,50,52,52.0,2.0
17757,female,some high school,standard,completed,married,never,yes,4.0,school_bus,5 - 10,67,78,81,75.0,2.0
17759,female,some college,standard,none,single,sometimes,no,7.0,school_bus,< 5,43,54,46,48.0,1.0
17760,female,associate's degree,standard,none,single,sometimes,yes,2.0,private,5 - 10,61,60,67,63.0,2.0
17761,female,associate's degree,standard,none,married,never,yes,2.0,private,5 - 10,80,96,90,89.0,2.0
17762,female,some college,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,48,55,62,55.0,2.0
17763,male,some high school,free/reduced,none,divorced,sometimes,no,3.0,private,< 5,46,45,46,46.0,1.0
17764,male,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,> 10,75,72,67,71.0,3.0
17765,male,bachelor's degree,standard,none,single,regularly,yes,1.0,school_bus,< 5,76,66,64,69.0,1.0
17766,female,high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,< 5,54,70,63,62.0,1.0
17767,female,associate's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,75,73,75,74.0,2.0
17768,male,some high school,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,57,61,57,58.0,2.0
17770,male,associate's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,51,52,45,49.0,1.0
17771,female,associate's degree,standard,none,married,sometimes,yes,5.0,private,5 - 10,95,90,95,93.0,2.0
17772,male,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,66,66,58,63.0,1.0
17773,male,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,91,88,77,85.0,2.0
17774,male,associate's degree,standard,completed,married,regularly,yes,3.0,school_bus,5 - 10,85,79,79,81.0,2.0
17775,female,some high school,standard,none,divorced,sometimes,no,4.0,school_bus,> 10,49,64,54,56.0,3.0
17776,female,some high school,standard,none,married,regularly,yes,1.0,private,5 - 10,74,87,80,80.0,2.0
17777,female,high school,standard,none,divorced,regularly,yes,4.0,private,5 - 10,88,96,94,93.0,2.0
17778,male,some college,standard,completed,married,sometimes,yes,2.0,private,5 - 10,93,94,100,96.0,2.0
17779,male,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,85,88,78,84.0,2.0
17780,female,associate's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,63,64,63,63.0,2.0
17781,female,some high school,standard,none,married,sometimes,no,4.0,school_bus,> 10,86,88,90,88.0,3.0
17782,female,high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,53,70,66,63.0,2.0
17783,male,high school,standard,none,single,sometimes,yes,1.0,school_bus,< 5,75,80,73,76.0,1.0
17784,male,some high school,standard,none,married,regularly,yes,1.0,school_bus,< 5,52,44,46,47.0,1.0
17785,female,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,71,86,95,84.0,2.0
17786,male,some college,free/reduced,none,married,regularly,no,1.0,school_bus,> 10,48,48,50,49.0,3.0
17787,male,high school,standard,completed,single,never,yes,3.0,school_bus,> 10,48,56,47,50.0,3.0
17788,male,high school,standard,completed,divorced,regularly,no,1.0,school_bus,< 5,69,73,69,70.0,1.0
17789,female,high school,standard,none,divorced,regularly,yes,0.0,private,5 - 10,77,83,86,82.0,2.0
17790,female,some college,standard,none,divorced,regularly,yes,4.0,school_bus,5 - 10,73,84,83,80.0,2.0
17791,female,associate's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,63,69,65,66.0,2.0
17792,female,high school,free/reduced,none,married,sometimes,no,1.0,school_bus,> 10,57,74,75,69.0,3.0
17794,female,associate's degree,standard,none,single,regularly,yes,2.0,school_bus,< 5,83,93,97,91.0,1.0
17795,female,some college,standard,completed,single,regularly,yes,1.0,school_bus,< 5,51,62,69,61.0,1.0
17796,female,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,60,70,65,65.0,1.0
17797,female,master's degree,standard,none,single,regularly,yes,0.0,private,5 - 10,63,66,73,67.0,2.0
17798,male,some college,free/reduced,completed,single,never,no,2.0,school_bus,< 5,49,59,52,53.0,1.0
17799,male,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,45,38,40,41.0,1.0
17801,male,bachelor's degree,standard,completed,married,regularly,yes,3.0,private,< 5,65,72,67,68.0,1.0
17802,female,high school,free/reduced,none,single,never,yes,3.0,school_bus,5 - 10,51,63,57,57.0,2.0
17803,female,some high school,free/reduced,completed,divorced,never,yes,4.0,school_bus,5 - 10,67,76,77,73.0,2.0
17804,female,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,61,74,70,68.0,2.0
17805,female,some high school,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,47,54,52,51.0,2.0
17806,female,some college,standard,none,married,never,yes,0.0,private,5 - 10,70,72,70,71.0,2.0
17807,male,bachelor's degree,free/reduced,none,married,regularly,yes,5.0,school_bus,> 10,70,71,69,70.0,3.0
17808,female,bachelor's degree,standard,none,divorced,regularly,no,2.0,school_bus,5 - 10,93,100,97,97.0,2.0
17809,male,associate's degree,free/reduced,none,single,never,yes,3.0,private,> 10,39,44,38,40.0,3.0
17810,male,some college,standard,none,widowed,never,yes,4.0,school_bus,5 - 10,75,73,73,74.0,2.0
17811,female,high school,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,61,73,72,69.0,2.0
17812,female,some college,standard,completed,married,sometimes,yes,1.0,school_bus,5 - 10,69,79,88,79.0,2.0
17813,female,some college,free/reduced,none,single,regularly,yes,3.0,private,5 - 10,42,50,50,47.0,2.0
17814,female,master's degree,standard,none,married,regularly,yes,3.0,private,> 10,82,95,93,90.0,3.0
17815,male,some college,standard,completed,divorced,regularly,no,2.0,school_bus,5 - 10,74,70,77,74.0,2.0
17816,female,associate's degree,standard,completed,single,sometimes,yes,1.0,school_bus,5 - 10,65,79,79,74.0,1.8977295694940375
17817,male,high school,standard,none,married,regularly,yes,0.0,school_bus,> 10,79,64,70,71.0,3.0
17818,male,some college,standard,completed,single,sometimes,yes,0.0,private,5 - 10,61,64,63,63.0,2.0
17819,male,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,71,58,53,61.0,2.0
17820,male,high school,standard,none,married,regularly,no,4.0,school_bus,5 - 10,62,48,48,53.0,2.0
17821,female,master's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,92,96,98,95.0,2.0
17822,male,some college,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,88,88,84,87.0,2.0
17823,female,high school,standard,none,single,regularly,no,5.0,school_bus,5 - 10,58,63,64,62.0,2.0
17824,male,associate's degree,standard,completed,single,sometimes,no,2.0,school_bus,5 - 10,81,71,68,73.0,2.0
17825,female,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,> 10,84,100,94,93.0,3.0
17826,male,high school,standard,none,single,sometimes,yes,6.0,school_bus,5 - 10,84,77,75,79.0,2.0
17827,male,some college,free/reduced,completed,married,never,yes,1.0,private,< 5,83,89,80,84.0,1.0
17828,male,associate's degree,standard,none,married,never,yes,3.0,school_bus,< 5,69,66,60,65.0,1.0
17829,female,some college,standard,none,married,sometimes,yes,1.0,private,< 5,75,84,85,81.0,1.0
17830,female,some high school,standard,completed,married,sometimes,no,4.0,school_bus,< 5,67,90,90,82.0,1.0
17831,male,high school,standard,completed,single,regularly,yes,2.0,private,< 5,63,66,69,66.0,1.0
17832,female,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,< 5,65,71,65,67.0,1.0
17833,male,some college,free/reduced,none,single,never,yes,3.0,private,> 10,62,64,67,64.0,3.0
17834,female,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,< 5,73,80,83,79.0,1.0
17835,male,associate's degree,standard,completed,single,regularly,yes,3.0,school_bus,5 - 10,100,90,89,93.0,2.0
17836,male,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,> 10,66,51,46,54.0,3.0
17837,male,some college,free/reduced,completed,single,never,yes,1.0,private,> 10,85,78,76,80.0,3.0
17838,female,some college,free/reduced,completed,married,regularly,yes,3.0,private,< 5,73,81,93,82.0,1.0
17839,female,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,> 10,80,86,89,85.0,3.0
17840,male,associate's degree,standard,completed,married,never,no,5.0,private,5 - 10,75,69,72,72.0,2.0
17841,female,high school,standard,none,married,sometimes,no,4.0,private,5 - 10,73,65,69,69.0,2.0
17842,male,master's degree,standard,none,divorced,sometimes,no,2.0,private,> 10,82,74,76,77.0,3.0
17844,female,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,51,54,50,52.0,2.0
17845,male,some high school,free/reduced,none,divorced,sometimes,yes,3.0,private,5 - 10,50,51,54,52.0,2.0
17846,female,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,72,77,80,76.0,2.0
17847,male,bachelor's degree,standard,none,married,never,yes,2.0,school_bus,5 - 10,64,59,56,60.0,2.0
17848,male,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,84,85,79,83.0,1.0
17849,male,associate's degree,free/reduced,none,married,sometimes,yes,0.0,private,> 10,49,49,53,50.0,3.0
17850,male,associate's degree,standard,none,divorced,regularly,yes,0.0,school_bus,5 - 10,89,69,77,78.0,2.0
17851,male,some college,standard,none,married,sometimes,yes,2.0,private,5 - 10,88,84,84,85.0,2.0
17852,female,some high school,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,80,91,90,87.0,2.0
17853,female,high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,47,62,57,55.0,1.8977295694940375
17854,female,some high school,standard,completed,married,regularly,yes,6.0,school_bus,< 5,82,89,96,89.0,1.0
17855,female,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,55,62,58,58.0,1.0
17856,male,high school,standard,none,single,sometimes,no,3.0,private,< 5,64,42,42,49.0,1.0
17857,male,associate's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,96,85,84,88.0,2.0
17858,male,master's degree,standard,none,divorced,regularly,yes,2.0,private,> 10,82,84,82,83.0,3.0
17859,male,associate's degree,standard,completed,married,sometimes,no,3.0,school_bus,< 5,68,69,71,69.0,1.0
17860,female,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,> 10,90,95,100,95.0,3.0
17861,male,some high school,free/reduced,none,divorced,regularly,yes,5.0,school_bus,5 - 10,62,46,45,51.0,2.0
17862,female,some college,standard,none,married,sometimes,yes,2.0,private,< 5,39,44,45,43.0,1.0
17863,female,associate's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,59,58,65,61.0,2.0
17864,male,some high school,free/reduced,none,divorced,never,yes,1.0,private,< 5,52,45,41,46.0,1.0
17865,female,some high school,free/reduced,completed,single,never,yes,1.0,private,5 - 10,71,95,93,86.0,1.8977295694940375
17866,female,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,62,59,62,61.0,1.8977295694940375
17867,male,some high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,53,64,62,60.0,2.0
17868,male,bachelor's degree,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,70,62,56,63.0,2.0
17869,female,associate's degree,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,60,75,79,71.0,2.0
17870,male,associate's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,57,57,63,59.0,2.0
17871,female,associate's degree,standard,none,divorced,never,yes,3.0,school_bus,> 10,81,84,88,84.0,3.0
17872,female,some high school,standard,completed,single,regularly,yes,5.0,private,5 - 10,78,78,79,78.0,2.0
17873,female,some college,free/reduced,none,single,regularly,yes,3.0,private,5 - 10,67,78,76,74.0,2.0
17874,female,high school,standard,completed,married,sometimes,yes,0.0,school_bus,< 5,64,68,76,69.0,1.0
17876,male,associate's degree,standard,completed,divorced,never,no,2.0,school_bus,> 10,72,74,75,74.0,3.0
17877,female,some college,free/reduced,none,divorced,sometimes,no,2.0,school_bus,< 5,32,44,34,37.0,1.0
17878,male,associate's degree,free/reduced,none,divorced,regularly,yes,0.0,school_bus,< 5,77,74,70,74.0,1.0
17879,male,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,< 5,69,74,76,73.0,1.0
17880,female,associate's degree,free/reduced,none,single,never,yes,2.0,private,5 - 10,57,61,60,59.0,2.0
17882,male,some high school,standard,completed,single,never,no,1.0,school_bus,> 10,78,72,68,73.0,3.0
17883,female,some college,standard,none,married,never,no,3.0,school_bus,5 - 10,68,74,78,73.0,2.0
17884,male,high school,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,57,47,49,51.0,2.0
17885,male,high school,standard,none,married,sometimes,yes,5.0,private,5 - 10,56,42,34,44.0,2.0
17886,female,bachelor's degree,free/reduced,completed,married,sometimes,yes,0.0,school_bus,< 5,52,81,80,71.0,1.0
17887,female,associate's degree,standard,completed,married,sometimes,yes,5.0,private,< 5,73,87,87,82.0,1.0
17888,male,associate's degree,free/reduced,completed,married,regularly,yes,3.0,school_bus,5 - 10,87,87,91,88.0,2.0
17889,female,master's degree,standard,none,married,regularly,yes,3.0,private,5 - 10,73,88,89,83.0,2.0
17890,male,some college,standard,none,married,sometimes,yes,0.0,school_bus,< 5,82,69,71,74.0,1.0
17891,male,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,< 5,88,93,93,91.0,1.0
17892,female,some high school,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,60,73,77,70.0,2.0
17893,female,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,78,84,84,82.0,2.0
17894,female,associate's degree,standard,completed,married,sometimes,yes,2.0,private,> 10,91,95,95,94.0,3.0
17895,male,high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,86,81,76,81.0,1.8977295694940375
17896,male,some high school,free/reduced,none,divorced,regularly,yes,3.0,school_bus,< 5,32,30,24,29.0,1.0
17897,female,high school,standard,none,single,sometimes,no,1.0,private,5 - 10,86,91,78,85.0,2.0
17898,female,master's degree,free/reduced,completed,married,never,no,4.0,private,5 - 10,56,67,63,62.0,2.0
17899,male,some college,standard,none,divorced,regularly,yes,4.0,school_bus,5 - 10,81,74,70,75.0,2.0
17900,female,associate's degree,standard,none,married,regularly,yes,2.0,school_bus,< 5,68,67,58,64.0,1.0
17901,female,some college,standard,none,single,regularly,yes,0.0,private,5 - 10,81,100,92,91.0,2.0
17902,female,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,84,75,79,79.0,2.0
17903,female,associate's degree,standard,none,single,sometimes,no,5.0,private,> 10,76,82,82,80.0,3.0
17904,female,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,64,76,75,72.0,2.0
17905,female,some college,standard,none,single,sometimes,yes,2.0,school_bus,< 5,77,85,86,83.0,1.0
17906,male,high school,standard,none,married,regularly,no,1.0,private,5 - 10,54,49,39,47.0,2.0
17907,female,some college,free/reduced,completed,married,regularly,yes,0.0,private,5 - 10,52,57,68,59.0,2.0
17908,male,some high school,standard,none,single,never,no,3.0,private,5 - 10,38,42,38,39.0,2.0
17909,female,high school,standard,completed,single,regularly,yes,2.0,private,> 10,74,89,89,84.0,3.0
17910,male,some high school,free/reduced,completed,married,regularly,yes,5.0,school_bus,< 5,67,76,73,72.0,1.0
17912,male,associate's degree,standard,none,single,regularly,no,1.0,private,5 - 10,64,62,61,62.0,2.0
17913,female,high school,standard,none,widowed,never,no,2.0,private,< 5,53,61,59,58.0,1.0
17915,male,high school,standard,none,married,sometimes,no,3.0,school_bus,> 10,45,52,40,46.0,3.0
17916,female,associate's degree,free/reduced,completed,married,never,no,3.0,private,> 10,51,58,61,57.0,3.0
17917,female,some college,standard,completed,married,never,yes,2.0,school_bus,5 - 10,65,73,73,70.0,2.0
17918,female,master's degree,free/reduced,none,widowed,regularly,yes,2.0,school_bus,5 - 10,62,70,73,68.0,2.0
17919,female,high school,standard,none,single,sometimes,no,4.0,school_bus,< 5,70,75,73,73.0,1.0
17920,female,high school,standard,none,married,sometimes,yes,3.0,private,5 - 10,54,66,65,62.0,2.0
17921,female,some college,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,59,69,66,65.0,2.0
17922,male,associate's degree,standard,none,married,regularly,yes,2.0,school_bus,< 5,64,60,56,60.0,1.0
17923,female,bachelor's degree,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,88,94,100,94.0,2.0
17924,male,high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,24,12,18,18.0,3.0
17925,female,some college,standard,completed,divorced,regularly,yes,1.0,school_bus,5 - 10,66,69,75,70.0,2.0
17926,female,some high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,37,46,44,42.0,2.0
17927,male,master's degree,standard,completed,divorced,sometimes,no,3.0,private,< 5,78,75,84,79.0,1.0
17928,female,some college,free/reduced,none,married,regularly,yes,2.0,private,< 5,56,61,61,59.0,1.0
17929,female,associate's degree,free/reduced,completed,divorced,regularly,no,2.0,school_bus,5 - 10,57,70,85,71.0,2.0
17931,female,associate's degree,standard,completed,married,regularly,no,3.0,school_bus,> 10,89,90,92,90.0,3.0
